"Sexo","Trat","Puntaje"
"Hombre","Control",11.1710576356877
"Hombre","Control",11.418932035019
"Hombre","Control",9.78139337063789
"Hombre","Control",9.09300565307447
"Hombre","Control",11.2117749116808
"Hombre","Control",6.36408806459254
"Hombre","Control",11.2601971021368
"Hombre","Control",9.44763178954957
"Hombre","Control",9.43168051211326
"Hombre","Control",8.16135599505174
"Hombre","Control",9.767504387296
"Hombre","Control",13.6346240874084
"Hombre","Control",10.7412557285159
"Hombre","Control",11.0404329151099
"Hombre","Control",8.49893601099534
"Hombre","Control",11.6337996790412
"Hombre","Control",8.22728495751358
"Hombre","Control",9.33684482011489
"Hombre","Control",12.2414253033391
"Hombre","Control",10.5974473985346
"Hombre","Trat1",9.05924384911065
"Hombre","Trat1",10.4115701649537
"Hombre","Trat1",6.2113431415374
"Hombre","Trat1",4.39372518954063
"Hombre","Trat1",4.30458096660738
"Hombre","Trat1",11.1101950376216
"Hombre","Trat1",6.53670527261073
"Hombre","Trat1",8.74075960259684
"Hombre","Trat1",8.7242469853017
"Hombre","Trat1",7.17537804616375
"Hombre","Trat1",9.12374635710772
"Hombre","Trat1",11.8936670926951
"Hombre","Trat1",11.5983806748124
"Hombre","Trat1",10.7648912789609
"Hombre","Trat1",8.00854238562811
"Hombre","Trat1",8.48237655854512
"Hombre","Trat1",6.85182684252576
"Hombre","Trat1",4.17589951228273
"Hombre","Trat1",11.0354677017459
"Hombre","Trat1",7.55160209729562
"Hombre","Trat2",8.25702166718036
"Hombre","Trat2",1.23928387720592
"Hombre","Trat2",3.87946889569494
"Hombre","Trat2",7.87428108036582
"Hombre","Trat2",7.70890344066111
"Hombre","Trat2",8.92145880620818
"Hombre","Trat2",3.17380244422161
"Hombre","Trat2",7.13480650684896
"Hombre","Trat2",7.16637530687137
"Hombre","Trat2",3.38640233307115
"Hombre","Trat2",4.91922785227579
"Hombre","Trat2",9.89538532946408
"Hombre","Trat2",6.10718054071491
"Hombre","Trat2",6.70332568111047
"Hombre","Trat2",4.65804692201212
"Hombre","Trat2",6.55590738961229
"Hombre","Trat2",7.38234254574977
"Hombre","Trat2",7.64759065741217
"Hombre","Trat2",10.2901300409606
"Hombre","Trat2",1.30611204327325
"Mujer","Control",10.2991839612304
"Mujer","Control",7.31493703654091
"Mujer","Control",11.1066061510078
"Mujer","Control",13.1799256853908
"Mujer","Control",8.8262408112258
"Mujer","Control",6.3352453875812
"Mujer","Control",11.776278865304
"Mujer","Control",13.1869769447125
"Mujer","Control",11.0337093413248
"Mujer","Control",7.40865663941035
"Mujer","Control",10.1092311506588
"Mujer","Control",8.43070125361691
"Mujer","Control",7.90129436208747
"Mujer","Control",14.6610239248094
"Mujer","Control",12.8054107657349
"Mujer","Control",11.8852017013831
"Mujer","Control",11.6525165743049
"Mujer","Control",8.37691901961784
"Mujer","Control",10.9524965615073
"Mujer","Control",12.0425168149622
"Mujer","Trat1",8.79076614841215
"Mujer","Trat1",9.58628710310288
"Mujer","Trat1",6.89126177461268
"Mujer","Trat1",12.4542218339259
"Mujer","Trat1",9.44244134607489
"Mujer","Trat1",11.2341983691334
"Mujer","Trat1",8.84408493802957
"Mujer","Trat1",6.88409323832532
"Mujer","Trat1",8.57304743342174
"Mujer","Trat1",9.14974013070335
"Mujer","Trat1",5.5721970419724
"Mujer","Trat1",5.78983497780042
"Mujer","Trat1",11.2738938840513
"Mujer","Trat1",6.71636125600964
"Mujer","Trat1",5.53873410210003
"Mujer","Trat1",8.87466420111408
"Mujer","Trat1",6.48991296495821
"Mujer","Trat1",11.8154396330128
"Mujer","Trat1",6.30040487235033
"Mujer","Trat1",6.1109066134585
"Mujer","Trat2",10.4478508150426
"Mujer","Trat2",7.68755333951845
"Mujer","Trat2",10.844837055574
"Mujer","Trat2",7.35048948830215
"Mujer","Trat2",10.2821686257206
"Mujer","Trat2",8.92790400301811
"Mujer","Trat2",9.37678783084371
"Mujer","Trat2",13.1122192852025
"Mujer","Trat2",9.10393341741106
"Mujer","Trat2",10.6422470749879
"Mujer","Trat2",7.53965550623962
"Mujer","Trat2",7.35188261569169
"Mujer","Trat2",12.5224845487766
"Mujer","Trat2",12.6384634392847
"Mujer","Trat2",9.83849247726393
"Mujer","Trat2",8.98982038745702
"Mujer","Trat2",9.89569281333935
"Mujer","Trat2",11.2577212502169
"Mujer","Trat2",14.3600047949697
"Mujer","Trat2",9.86196538696157
